RegionName,State,Metro,CountyName,SizeRank,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,AVERAGE,,Metro,Average
Ypsilanti,MI,Ann Arbor,Washtenaw,2480,179900,179900,182000,185450,189900,184900,189900,189900,189900,196500,199850,189950,188170.8333,,Cullman,160966.6667
Alexandria,AL,Anniston,Calhoun,6475,119900,109000,109000,119900,122500,136450,142500,148450,147700,143700,127900,134700,130141.6667,,Cullowhee,345182.9653
Jacksonville,AL,Anniston,Calhoun,2607,140950,136000,139900,140000,147450,139900,136450,139900,146000,144950,148000,139900,141616.6667,,Cumberland,112385.4167
Oxford,AL,Anniston,Calhoun,3543,134900,136900,139900,139900,130950,138450,139900,129900,129700,129900,126500,124950,133487.5,,Dallas-Fort Worth,333378.6912
Saks,AL,Anniston,Calhoun,6197,77900,69900,69900,70000,69900,67900,74900,73450,74900,74900,79900,76400,73329.16667,,Dalton,140241.6528
Weaver,AL,Anniston,Calhoun,6034,107700,107900,104700,99900,91450,96000,99900,94950,89900,87000,89000,89900,96525,,Danville,105888.75
Appleton,WI,Appleton,Outagamie,662,129900,129900,129900,134900,137700,139900,143700,141900,140000,140000,144900,143450,138012.5,,Daphne,251912.4826
Greenville,WI,Appleton,Outagamie,4408,249850,256332.5,259900,254950,254000,254900,254900,244900,249900,249900,265000,262450,254748.5417,,Davenport,174046.3333
Town of Chilton,WI,Appleton,Calumet,5790,134900,157900,144950,145000,128700,126700,127900,124200,124900,125000,125000,125450,132550,,Dayton,144776.6542
Town of Kaukauna,WI,Appleton,Outagamie,3609,115900,119950,125200,127500,134900,139950,144900,147000,135900,130000,132949.5,129900,132004.125,,Daytona Beach,245364.5139
